name,rating,wouldTakeAgain,levelOfDifficulty,topTags,similarProfs,reviews,numReviews
Farhan Rana,4.6,29%,4.6,Tough grader; Lots of homework; LOTS OF HOMEWORK; Inspirational; Respected; Skip class? You won't pass.; Amazing lectures; Tough Grader; LECTURE HEAVY; GRADED BY FEW THINGS,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Rana is a very good lecturer. Maybe the best I have had at Cornell. His courses are known to be phenomenal learning experiences, and 3150 was the best course I have had so far. But his courses are not easy and if you are not interested in the subject matter, life can become hard. And don't skip classes or fall behind - there is no catching up.; Rana has clear lectures and slides as long as you pay attention and dont sleep. Don't just only go to OH. Go to rana specifically for help understanding how to apply the concepts. Hes almost always free and there. He will help you.; Lectures are very clear and slides are well done. However, he makes the class revolve only around grades by always saying ""this can be on the final"" and publicly announcing top scorers on each assignment. Made me less interested in the subject.; Only cares about grades, he's a good lecturer but the constant focus on exams and grading instead of the actual subject ruined my enthusiasm for the subject.; okay so great teacher will give 5.0 for teaching... HOWEVER, it is a tad difficult. Also how could you make the final design night lab wednesday.... This is absolutely ridiculous in terms of timing. Why do so many of the students give him a 5.0 rating when they keep repeating difficult and tough grader? let me be an actual honest reviewer.; One of the best lecturers at Cornell. Clearly puts in a lot of effort into teaching his classes and conveys difficult subject matter lucidly. Homework assignments are difficult and time consuming, but doable, especially with his recitation sections. Exams are some of the hardest I've taken at Cornell (much harder than homework assignments).; Awesome in everything; This was by far the most difficult class I have taken at Cornell. Too much material was covered in a single course. And exams were also tough. But Rana is a super good lecturer, very sharp, clear,  and to the point. Almost scary. The course material was also organized extremely well (better than any book) and  I learnt a lot.; Rana looks mean but he is probs one of the nicest professors around. He made an otherwise difficult subject really lucid and he is super helpful with assignments. If you want a good grade, then the class would be a lot of work. Final was way easier than midterm, and grading was lenient. I recommend taking this class with him, if you can.; For the class that had so much material, Rana was really good at picking out the main points, stressing them, and without sacrificing any rigor.  The class was also structured very well, having good coverage of semiconductor physics and; Great lecturer! But extremely difficult material and even more difficult exams. If he wasn't a fairly generous grader, the median on our midterm would've been in the 30's. Through fairly generous grading, it ended up being in the low 60s.; I was impressed by the quality and clarity of the lectures,  handouts and homeworks. He exceeded my expectations. The course is rigorous and you need a broad background in physics to be able to fully appreciate the content.; This was the best class I have taken at Cornell so far. Rana is out of this world. He is the most eloquent and coherent professor in all of Cornell. Listening to him is like listening to Mozart - not a single word is out of place. Why aren't there more people like him in this world.; He is a terrific teacher, crystal clear, speaks a little too fast, but very hot!; Most awesome engineering professor. Teaches very clearly and extremely helpful. Physics-oriented solid state class. More recommended than the equivalent class in the AEP department.; He is one of the best teachers i have seen simply awesome; Extremely difficult, but I learned more in his class than any other; Tough class. Lots of his grad students.  Many students will try to take as many classes as they can.  Keep up with the mountain of work that you have to do and you'll be fine because he can explain semiconductors to a five year old perfectly.; Legendary. There is no one better than Prof. Rana in Cornell ECE. Wow.",19
David Hammer,4.6,50%,3.3,GROUP PROJECTS; Gives good feedback; Group projects; ACCESSIBLE OUTSIDE CLASS; Get ready to read; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Lectures from the assumption that students know about/have prior interest in fusion, so he sometimes speaks aimlessly, assuming students know what he's talking about. But, he was very helpful in office hours and provided lots of advice on the major project (""designing"" a nuclear reactor). HW was vital to clarifying the actual course expectations.; Hammer is an amazing lecturer, being clear, informative, and engaging. He is approachable, friendly, and very knowledgeable. The material for fusion is difficult, like Physics 2214 on crack.  Fusion weekly HW takes 4-7 hours.  Do well on the final project!   Expect B+/A- median grades for Fusion and a free A for attendance for Energy Seminar.; Amazing teacher! The class is hard - but he's so helpful and always available in his office.; GREAT GUY ! Very very helpful :); His is an amazing teacher. Class material may seem difficult, and it is one of those classes where either you get it or you don't, but he is very helpful at helping you get it. Go to his office hours if you're confused, and you're sure to understand the material.",5
Jayadev Acharya,4,67%,3.3,Hilarious; Accessible outside class; Inspirational; Amazing lectures,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","The course is theoretical but inspiring. It seems he has spent a lot of time on the course materials. You will definitely learn a lot if you put enough time on it.; The material is a mess and the professor seems to be unable to explain ideas clearly. Also, he has a strong accent.",2
Stephen Wicker,4.5,100%,1.8,Hilarious; Respected; TEST HEAVY; Amazing lectures; Test heavy; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","AWESOME CLASS; An awesome class that every ECE should try to take.; Very good lecturer and very easy class. However, he is very busy and hard to reach.; Awesome Professor.... Makes subject so easy... Exam super Easy; GREAT PROF GREAT CLASS!; This guys my favorite teacher I've had so far.  Hes genuinely interested in the subject and brings alot of energy to the class in addition to his vast knowledge.  He also has a great sense of humor, and is a great communicator.  If he wasnt a teacher I would totally want to be his friend.; WOW!! WHAT A TEACHER!! Makes subject come to life..He makes life easy for the students. Read his notes and attends his class regularly.No one can stop from getting A. He is very generous in giving grades.; This guy is a genius. Infact truly speaking, this guys is not only renowned in the academia but also in the industry sector. I thank my stars that I took his course. He makes the concepts quite easy, his exams are also easy and he gives minimum homework. He encourages self learning to maximum extent but at the same time helps when needed; Absolutely one of Cornell ECE's best professors. I highly recommend taking a class with him. He knows his stuff and has a good sense of humor. Not only is he knowledgeable, but he's able to communicate (what a concept).; You can't go wrong with Prof Wicker - his lectures are well-organized and fun (he would tell you the history of many things). He tends to be a bit sloppy on the administrative stuffs (hw, labs, exams), but, hey, we still think he is cool.; Great professor!!!  Enjoys teaching, and is both FUN and EFFECTIVE.; No Comments; One of the best professors in the department.  Great class.",13
Hsiao-Dong Chiang,4.6,50%,2.8,Gives good feedback; Lots of homework; LOTS OF HOMEWORK; Respected; Skip class? You won't pass.; Graded by few things; GRADED BY FEW THINGS,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","an absolute genius in his field.  Started his own business on the side and is killin' it.  He's taught this class for many years, and knows just how to teach the fundamentals.  Highly recommended.  He's also just a great guy.  thumbs up.; Superb professor, arguably the best in ECE.  I cannot recommend this professor enough, you will not be disappointed taking his class.; This guy is awesome.  One of the easiest professors in the department because he cuts out the junk and effectively teaches you what you need to know.  He is also extremely helpful and has tons of office hours at useful times (like late at night).; Unbelievably smart, an expert in his field.  Taking a class with Prof. Chiang was a great experience - learned so much about power systems and about engineering and business in general.; Easily one of best professors in the department. He is clearly a genius when it comes to his work in Power Systems. Teaches the course well and cuts all the b.s. out of it. Makes great effort to help his students. Definitely a great undergrad course. Highly recommend.",5
Alyosha Molnar,4.4,100%,2.6,Gives good feedback; Lots of homework; Inspirational; LOTS OF HOMEWORK; Respected; Amazing lectures; ACCESSIBLE OUTSIDE CLASS; Participation matters; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Took 4450, 5540, and 5790 with Molnar. Hardest classes I took at Cornell, especially 5540, but learned more from them than pretty much everything else combined. Amazing lectures, you walk away from his classes with an understanding and not just a knowledge of the material. Best Prof. in ECE in my opinion. There is no learning without pain!!!; Super hard but worth it; Amazing lectures, lots of problem sets and labs, but ultimately worth it. He and the TAs put a lot of time into the course to ensure a full understanding of analog circuits. Also really interesting uy to talk to outside of class.; Expect lots of work and a lot of learning! Go to office hours and become friends with him! He puts in a lot of effort.; Despite the overwhelming amount of work we were assigned, most of it was not worth much. It was a very leniently graded class and the professors and TAs spent well more than the required amount of time to ensure a high level of understanding.; Challenging but very dedicated to his course.  Excellent selection of TAs.  Attends every discussion and some labs to help out.; One of the best professors I've ever had. He really cares about his students/teaching, is very understanding, and is always willing to help. However, this was also the hardest class I have taken (prelims were pretty rough, labs and homework sets were long/difficult). This class will teach you to care more about learning than your grade; Professor Molnar is a fantastic guy. He's an absolute genius, super nice, and always willing to help his students. You will learn so much if you take ECE 2100 and try your hardest to understand the material being thrown at you. That being said, do not expect this class to be a breeze. Homework sets take forever and labs are tedious. Come prepared.; Prof. Molnar's 2100 will consume your life with coursework if you let it. Overall, it was very educational and worthwhile. And he's a really nice guy. Many students suspect he has (not so) secret superhuman ECE powers.; Prof. Molnar is many things, easy is not one of them. His problem sets/labs are positively sadistic, but he holds himself to the same high standards he holds you to. He is incredibly dedicated (teaches his own discussions, writes own labs) and is super-helpful when you talk to him in person. Overall, a great guy/teacher who will teach you  a ton.; A nice and interesting guy. Seems to care about his students and is willing to help them when they ask for help. Lectures are very good, but problem sets are difficult.; talks extremely fast, ridiculously long and hard problem sets",12
Debdeep Jena,4,50%,3,Respected; Gives good feedback; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Overall a nice and knowledgeable lecturer. But he can be very unorganized at some points, which can create distractions (a typical phrase from him: ""ok forget about this, let me explain it that way""). The problem is that he tries to teach the whole course from his memory. But somebody needs to tell him it is OK to use some notes while teaching.",1
Christina Delimitrou,4.9,100%,3.5,Hilarious; Gives good feedback; Lots of homework; Inspirational; Respected; Group projects; Amazing lectures; Get ready to read; Beware of pop quizzes; Participation matters; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Very cool class, taking it now. Really liking the advanced processor part. Prof. is very nice and cares that students are doing well! Lots of work, but hope to get a good grade :); Loved this class. Prof is funny and cares that you learn. Would take a class with her again.; I'm taking this class now and I love it. By far my favorite class I've taken so far and I'm junior. Prof. Christina is an amazing lecturer, explains things clearly and answers questions very well. It's a lot of work but I recommend it.; Really enjoyed this class. Did a project with drones and cloud backends! Mix of lectures and paper discussions (quite a few papers to read but you learn a lot).; Prof. Christina is very cool, and funny, and knows her stuff. This class was awesome.; Prof. Delimitrou is fantastic! Great knowledge of material and very nice in meetings. We did a project on programming framework for cloud. Enjoyed it a lot.; She's the best! Take the class, you won't regret it. I seriously changed my research area after taking it.; I'm taking this class now and it's great! Very interesting topics on cloud computing. About half-half ECE and CS students, which is nice. You do a semester-long project. Christina gives great lectures and feedback for the projects!; Hands down one of the best professors at Cornell! Although the assignments are long and take time, I learned so much from this class. The TAs are great too during lab hours. Would definitely take a class with Prof. Delimitrou again. Recommended!; Love this class! Really like Christina, she is an outstanding professor, gives very good feedback!; Really cool course on cloud computing. You do a research project in a group. Prof. is really knowledgeable.; Fantastic professor, really good class too; very interesting material. Would recommend!; Took this class last year. Really enjoyed the lectures and the labs. They are a lot of work, but it was one of the most interesting classes I took at Cornell. Christina is a great professor!; I really like this class; hope to get a good grade. Prof. is amazing, fantastic lectures!; Professor Delimitrou is the boss. Her classes organize so well and her delivery is impeccable. Very sympathetic to students and is always there to help. The projects and hws are so well designed. The workload is heavy but you'll thank yourself after going through them. Places a solid foundation for architecture and piques my interest to learn more.; Really enjoyed this class. It fell in the middle of the pandemic, but Christina was supportive and reachable outside class, and always helped us with the project. Would love to take another class she teaches!; I took this class in Spring'20, and half of it was online because of the campus shutdown. Both the in-person and online lectures were super interesting; I wish there were more of them honestly, and slightly fewer papers :) Christina is a wonderful lecturer and gives good feedback for projects.; Really interesting course! Christina is wonderful in lectures and gives good feedback for projects. Was a lot of reading, but very fun class!; Vry interesting class, on cloud systems. We had to read many papers, so it is a lot of work, but really enjoyed the topisc! Project was very intersting too!",19
Eilyan Bitar,3.7,67%,4,Tough grader; Respected; Lecture heavy; Graded by few things; Tough Grader; ACCESSIBLE OUTSIDE CLASS; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Is very slow - takes too long to post things like homework solutions; Took in Spring 2016 - his first year teaching ECE 3100. I thought he was awesome, can be really blunt/quick at times, but will help you understand it esp 1-on-1. Good lectures. I had no idea what probability was before class, but left with a solid foundational knowledge that has been really helpful in later classes (ML, robotics, etc.).",2
Edwin Kan,3.9,67%,4,Hilarious; Gives good feedback; Respected; ACCESSIBLE OUTSIDE CLASS; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Professor Kan is extremely kind and enthusiastic; however, his explanations are very confusing.; Super nice and enthusiastic lecturer. Genuinely one of the kindest professors at Cornell; Best Prof. ever! I know he receives polar opposite rates, but he IS a great professor. I've learn lots in his class and actually found it useful now that I graduated and working in the computer science field.; Nice person, never gets personal with students. Class is hard but it is possible to get an A. Take him.; Professor Kan is very helpful. He is very professional an never gets personal with students. Nice guy; class is hard but it IS possible to get an A.; Great professor! I mean, the class itself is hard, but Dr. Kan is a fantastic teacher and a very nice, helpful guy. Work hard and you will do just fine.; His lectures were all slides that he took directly from the textbook manufacturer (unmodified!), he wasn't able to explain the slides when students asked deeper questions, he gave only multiple-choice assignments, & the labs were extremely tedious and pointless.  Absolutely the worst course I've ever taken; this guy didn't know the course material.; Shows salient effort and care in teaching the students well.  Prepared for lectures and organizede. No textbook, only his thorough notes. Unfortunately his explanations were not very clear to me.; He can't teach and it is an awful class to begin with.  Friendly guy but the class is awful with pointless lab reports that require all nighters.; Best class I've taken in ECE. The course covers a lot of material which is relevant for anyone who is going into the semiconductor industry. Exams are hard, but fair.; He is a great professor, but his exams were really hard. He did his best with a crappy course in general. His class was very helpful for those going into the computer engineering industry.; Excellent Prof.  The best ECE class I've taken in Cornell.  He is definitely the perfect man for this class.  I've learned lots, indeed!; Honestly, this was probably the worst ECE class ever.  I would've been far better off skipping class and just reading the book.  His lectures were a completely disorganized and confusing.; Focuses on theory more than equations.  Great professor, learned a lot in his class - but he is pretty tough.; A very dedicated Professor, but very tough in grading and exams questions. Really teach the understanding of the course.; he should've been the sole lecturer for this course....; No Comments; good professor..knows his stuff and knows how to teach it..; No Comments",19
Bruce Land,4.4,100%,3.2,Hilarious; GROUP PROJECTS; Would take again; Group projects; Respected; ACCESSIBLE OUTSIDE CLASS; Get ready to read; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Bruce is a fantastic prof. Took his course in Fall '17. He's so much fun and helps you a lot during the labs. Barely attended the lectures, didn't feel they were going to be very useful. He's easily available to have a chat or discuss a new idea. If you want to learn about a microcontroller, go for it!; Cares more about students and their ideas than any professor at I've had, but you have to show that you care for him to care. Lectures are a bit disorganized, but ultimately irrelevant; this class is about the projects. You would be doing a disservice to yourself by not taking this class because it teaches you real engineering. + good resume pad; Great professor.; Bruce Land is a great professors! His class involves a lot of lab work, so be ready. If you pick a group that you work well with, it will make all the difference. He is always willing to field questions and help you with your project.; Knowledgeable and experienced. He can be irresponsible if he does not like you personally and will ignore no matter how much hard work you have put into the course. Very nonprofessional.People with high learning ability,good academic standing but no strengths in micro-controller should avoid his classes.; Best class ever taken. It was fun, it was helpful, and it's rewarding.; Bruce Land Rocks !!; The best prof in engineering.  Period.; very good class. this is what ece should be all about.; ECE 476 under Bruce is THE course to take! Yes, it's a lot of work, but it's fun, and you learn a lot. Bruce is helpful and knowledgeable, and he is the instructor who is ALWAYS in the lab to help you. It is the BEST course in ECE. I know someone who had done the course take it again for M.Eng coz it's just awesome!; Disorganized and doesn't devote much time to helping students.I worked on a project with him and he never had enough time to guide me.He also did not mail in recommendations for me TWICE, when I applied to graduate schools even though he agreed and I had reminded him. This cost me chances to be considered for those schools. VERY VERY IRRESPONSIBLE!; Land is awesome, course is a lot of work, but worth it for the course material.  The labs are fun if you stay caught up with the material.; !!!; Great guy, easy to talk to and brilliant; The shorts are because he has dermititis on his legs and he'd rather be cold than itchy.  this guy knows everything from neurobio to ece stuff. truly amazing.; Great Professor, but what is up with the Hawaiian shirt and shorts?  It is snowing out!; No Comments; No Comments; A very knowledgeable professor that knows his stuff. He takes the time to explain what you ask and is helpful even with general questions.",19
Francesca Parise,2,0%,4,Lecture heavy,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]",,0
David Schneider,1.8,20%,2.3,Tough grader; Gives good feedback; Lots of homework; Tests? Not many; Lecture heavy; Graded by few things; So many papers; Get ready to read,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","I have had so many courses at Cornell and his course is absolutely the worst. His lecture is just a waste of your time. Tons of homework and strict requirements of your format but his slides are below even a kid's performance. If you want to learn how to waste someone else's time, go take it!; EXTREMTELY disorganized. very inconsistent grading and homework did not have any value.; He really cares about his work and empowering student. He does pile on work at certain points though. I really liked him.; Disorganized. Cares more about selling student projects to sponsors than students' learning.; Can be confusing, but will always strive to answer your questions. Fun lectures, but lots of homework.",5
Zhiru Zhang,4.2,80%,2.7,Tough grader; Lots of homework; LOTS OF HOMEWORK; Respected; Amazing lectures; LECTURE HEAVY; Participation matters; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","AMAZING lecturer, probably best one I've had at Cornell so far. Explains things very clearly but he does go very fast. Pop quizzes every lecture but not hard. Very caring professor, take this class with him!!; He has ""pop quizzes"" every lecture which is like attendance, but he tells you to start paying attention when he teaches you the stuff that will be on the quiz that day, so people can wake up from naps and actually learn. This course does require a lot of work, so beware, but you learn the material from them and prelims are not that bad.; Prof Zhang is definitely not the worst professor out here; he does care about students. However, his lectures were extremely dry and he moves very fast. He knows his stuff, but this works to his disadvantage because he oftentimes forgets to explain the things that seem trivial to him but not to his students.; He's a really excellent lecturer and he makes jokes and plays games so we aren't bored all the time. He makes the material so much easier to understand. It's actually not a hard class and really interesting too, but it all builds up. Expect quizzes about 90% of the time. I would definitely take the class, we do really cool stuff here.; Really nice professor. Helps you learn. Are nice to students. Can be tough on grading. His ECE 5775 class if very interesting and insightful.; I think he recently became a professor so he works very hard and try to teach the material well. That's what I like about relatively young professors compared to old professors waiting to retire and prepare nothing before lectures. He answers Piazza questions real fast. He works hard but I have to admit, he is extremely boring so try to stay awake.",6
Nils Napp,1.6,20%,2.8,Group projects; Graded by few things,"[['5.00', 'Alice Mercier', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2496619'], ['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568']]","Professor Napp's lectures are very dry and he mostly goes on tangents all the time so it is very hard to understand what he is saying. Can not understand because he does not tell the main point, but goes off on examples with little coherence. Lectures need to be scripted. Required async lectures and labs. This class makes you want to take a NAPP.; after this class switched to prof Napp and changed to online, ECE 3140 went from a hugely difficult class to one that is passable with little effort and you can get an A with a decent amount of effort.; It seems that he was just thrown into teaching this class without really preparing for it at all. Since he is a new professor at Cornell, that may be his fault or someone else's fault, but either way, the class is a complete mess and no one knows what's going on.; Forcing partners for group projects tedious and boring lecture Yes, i am mad",4
Mert Sabuncu,4,100%,2.5,GROUP PROJECTS; Group projects; Graded by few things; GRADED BY FEW THINGS; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Smart prof. Lectures can be a bit dry sometimes, coding assignments were really fun. The grading/psets are done by the TAs who don't know anything, so be ready to argue points back. Overall the first half of the class was a repeat of 2200, and the second half was hard asf stats/ML. Final project was diagnosing lung cancer on CT scans--rly dope",1
Clifford Pollock,4.3,100%,3.2,Lots of homework; Inspirational; Clear grading criteria; Amazing lectures; Test heavy; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Professor Pollock is just such a genuinely nice person who is always willing to help his students with anything. I had him for Math 1910 and he did a very decent job of explaining concepts in a way that the class would understand. Do still read the textbook though, as it is very useful for practice and refinement.; Awesome guy, always willing to help out and clearly knows his stuff, but is pretty bad at explaining things to students clearly. Class was a bit of a meme as nobody knew what was going on 90% of the time, but it was a fun course to be in; Really clear an enthusiastic lecturer. Wish he'd teach more classes.; Prof. Pollock is undoubtedly the best lecturer I have had at Cornell so far. He made a hard subject really easy to understand. He is very enthusiastic about ECE, which is infectious and makes you want to pay attention in class. He is also always ready to answer questions on the material and is very approachable.; Pollock was very clear and lucid, though he did make a few math errors that made you lose concentration. The class is sooooo much work but he knows this and gives us straightforward prelims and homeworks.; One of the best professors. Cares a lot of his students and is aware of their work load. He is always willing to help and is very clear in explanations.; Awesome professor. Really cares about his students. Expects a lot but is very conscious of the workload his students are dealing with. Always willing to help. Lectures are clearer than any others. Best professor I've had at Cornell. If you have the chance to take a class with him, do it!; Awesome guy.  Fantastic anecdotes, and a pretty good teacher to boot :)  He's pretty busy though, so hope you have a good TA to help you out.",8
Amit Lal,2.6,N/A,4.1,Hilarious; Lots of homework; Inspirational; Tests? Not many; Group projects,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Lal is a good guy. He has high aspirations for this class. Homework and final project are hard. He designed this course really well to expose students to higher level ECE concepts. Sometimes it can get really hard, but just remember that he is a pretty easy grader in the end.; Lectures were simple at times, but often got into the broad scope of things we didn;t completely understand. Labs were fun, but homeworks were often tedious. The final project was fun and a great learning experience.; I barely understood what he said in lectures but his homework and labs were amazing. They make you understand very well and he is very lenient in grading. He is a smart man.; lal is not as bad as everyone says.  he is relaxed and sometimes makes jokes that are funny.; Please avoid this professor. He is an Indian Santa Claus - smart but can't teach worth a dime. Also, he's a terrible advisor. He doesn't show up for meetings EVER.; Lectures very structure and organized.  Challenging homework and exam problems (but not tedious!).  The complete opposite of ECE 315.; Lal's a ****! He's da man!; completely different person from 315. 432 is clear and organized. He's extremely helpful with his office hours. Very friendly too.; Soo lost in this class...dunno why I'm still in it; No Comments; WHat abad professor...so unorganized. Don't take 315 with him. He'll make you want to drop ECE. We should have more profs like delchamps and less ones like Lal.; I can't wait until this class is over.  Absolutely awful.; this guy cannot teach at all.  his lectures are just bits and pieces of the lecture notes posted by the book authors, his explanations suck, he's a sneaky ****, pushing back our test past the drop date so we can't dropwhen we all fail the test; okay... no one understands his lectures.  no one in the class knows how to do the hw.  he's missed more lectures than all of my other professors combined.  i'm missing other things but just thinking about this gives me a headache!; He actually admitted in class that he forgets that we take more than 1 class!!! The guy shows up 30 mins late and expects us to stay 30 mins after. The guy is very smart but.... Final project took around 100 hours for most ppl.",15
Lang Tong,2,0%,3.7,Get ready to read; So many papers; Lecture heavy; Skip class? You won't pass.,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Don't ever enroll this class if you are MEng. or MS students and have no interest in power (even if you are interested power but not in power market, don't enroll either), the class is really boring class and it is prepared for him and his PhD students for discussion.; 2100 was terrible with Prof. Tong. I didn't understand why he taught subjects in the order he did confusing. He was awful at lecturing and condescending towards undergraduate students. He had a very poor grasp of what sophomore-level ECEs should already know or what they haven't learned it. I could barely sit through each lecture.; Lecture notes are helpful. HWs were Q's off the text, though I wish he put his own questions. Exams were unstable in difficulty. He's not bad though and he's funny sometimes. He means well too, because he wants to consider our feedback on the course to hopefully run it in a more stable manner. This was his first time teaching 2200 I think.; His class is very dull and the test averages can range anywhere from 55 to 85. The labs are extremely time consuming and are not worth that much. I wouldn't take it again unless it was required.; Lectures do not relate homework at the time it is due.  Definitely not an exciting class.  Held early in the morning with over half of people either absent or asleep.  Lots of Matlab use.  Helpful at strengthening programming and math skills.",5
